,pcode,domain,depth,complexity,difficulty,error,answer,correct
250,250,"[('다항식', '나머지 정리', '인수정리와 고차식의 인수분해'), ('함수', '함수', '함수의 그래프'), ('함수', '합성함수와 역함수', '역함수')]",3,3,68,0,3,1
251,251,"[('다항식', '항등식과 미정계수', '다항식의 나눗셈과 항등식')]",3,1,31,0,4,1
252,252,"[('집합과 명제', '명제와 조건', '충분조건, 필요조건')]",3,1,24,0,4,1
253,253,"[('경우의 수', '순열과 조합', '조합'), ('함수', '유리함수의 그래프', '유리식')]",3,2,40,0,1,0
254,254,"[('함수', '다항함수의 그래프', '이차함수의 그래프')]",3,1,48,0,3,1
255,255,"[('도형의 방정식', '도형의 이동', '대칭이동')]",3,1,65,0,4,0
256,256,"[('집합과 명제', '명제의 증명', '절대부등식의 활용'), ('경우의 수', '경우의 수', '경우의 수'), ('다항식', '항등식과 미정계수', '다항식의 나눗셈과 항등식')]",3,3,61,0,4,1
257,257,"[('경우의 수', '순열과 조합', '조합')]",3,1,40,0,1,0
258,258,"[('함수', '무리함수의 그래프', '무리식')]",3,1,38,0,3,0
259,259,"[('방정식과 부등식', '연립방정식', '부정방정식')]",3,1,35,0,1,1
260,260,"[('집합과 명제', '집합', '집합과 원소'), ('함수', '무리함수의 그래프', '무리식')]",3,2,72,0,4,1
261,261,"[('함수', '유리함수의 그래프', '유리식'), ('집합과 명제', '집합', '합집합, 교집합, 여집합, 차집합')]",3,2,49,0,1,0
262,262,"[('실수와 허수', '실수', '정수의 분류')]",3,1,17,0,4,1
263,263,"[('다항식', '인수분해', '인수분해의 기본 공식')]",3,1,7,0,2,1
264,264,"[('집합과 명제', '명제와 조건', '충분조건, 필요조건'), ('실수와 허수', '실수', '제곱근, 세제곱근과 그 연산')]",3,2,61,0,3,1
265,265,"[('함수', '함수', '함수의 그래프')]",3,1,23,0,2,1
266,266,"[('함수', '다항함수의 그래프', '절댓값 기호가 있는 방정식의 그래프')]",3,1,26,0,3,1
267,267,"[('도형의 방정식', '직선의 방정식', '정점을 지나는 직선')]",3,1,14,0,3,1
268,268,"[('경우의 수', '순열과 조합', '조합'), ('집합과 명제', '명제의 증명', '절대부등식의 활용'), ('방정식과 부등식', '최대와 최소', '이차함수의 최대와 최소')]",3,3,77,0,4,0
269,269,"[('함수', '무리함수의 그래프', '무리식')]",3,1,39,0,3,1
270,270,"[('함수', '유리함수의 그래프', '유리함수의 그래프')]",3,1,65,0,3,0
271,271,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,6,0,4,1
272,272,"[('방정식과 부등식', '이차방정식과 이차함수', '이차방정식의 근의 분리')]",3,1,45,0,1,0
273,273,"[('함수', '무리함수의 그래프', '무리식')]",3,1,9,0,4,1
274,274,"[('실수와 허수', '실수', '무리수가 서로 같을 조건')]",3,1,17,0,4,1
275,275,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,47,0,4,1
276,276,"[('함수', '함수', '함수의 그래프')]",3,1,48,0,1,0
277,277,"[('실수와 허수', '복소수', '허수와 복소수'), ('집합과 명제', '명제의 증명', '절대부등식의 활용')]",3,2,29,0,3,1
278,278,"[('함수', '유리함수의 그래프', '유리식'), ('함수', '무리함수의 그래프', '무리함수의 그래프')]",3,2,72,0,4,1
279,279,"[('다항식', '나머지 정리', '인수정리와 고차식의 인수분해')]",3,1,19,0,4,1
280,280,"[('방정식과 부등식', '이차방정식의 판별식', '이차방정식의 판별식')]",3,1,6,0,1,1
281,281,"[('실수와 허수', '실수', '제곱근, 세제곱근과 그 연산')]",3,1,64,0,2,1
282,282,"[('집합과 명제', '명제와 조건', '명제의 역과 대우'), ('다항식', '항등식과 미정계수', '다항식의 나눗셈과 항등식')]",3,2,25,0,3,0
283,283,"[('방정식과 부등식', '일차, 이차방정식', '이차방정식의 해법'), ('집합과 명제', '집합의 연산법칙', '집합의 연산법칙')]",3,2,61,0,1,1
284,284,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,57,0,2,1
285,285,"[('도형의 방정식', '직선의 방정식', '방정식의 그래프')]",3,1,52,0,4,1
286,286,"[('함수', '유리함수의 그래프', '유리식'), ('실수와 허수', '복소수', '복소수의 연산'), ('방정식과 부등식', '연립방정식', '연립일차방정식의 해법')]",3,3,42,0,3,1
287,287,"[('다항식', '나머지 정리', '나머지 정리')]",3,1,11,0,3,1
288,288,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수'), ('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 정수근'), ('다항식', '다항식의 연산', '다항식의 곱셈, 나눗셈')]",3,3,61,0,4,0
289,289,"[('도형의 방정식', '직선의 방정식', '정점을 지나는 직선')]",3,1,48,0,2,0
290,290,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,17,0,3,1
291,291,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,8,0,4,1
292,292,"[('함수', '무리함수의 그래프', '무리식')]",3,1,36,0,3,0
293,293,"[('함수', '유리함수의 그래프', '유리식')]",3,1,32,0,4,1
294,294,"[('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 근과 계수의 관계')]",3,1,37,0,3,1
295,295,"[('다항식', '인수분해', '다항식의 최대공약수와 최소공배수')]",3,1,53,0,3,1
296,296,"[('방정식과 부등식', '삼차방정식과 사차방정식', '삼차방정식의 근과 계수의 관계')]",3,1,26,0,3,1
297,297,"[('실수와 허수', '실수', '실수')]",3,1,34,0,4,1
298,298,"[('함수', '무리함수의 그래프', '무리함수의 그래프')]",3,1,25,0,1,0
299,299,"[('다항식', '나머지 정리', '나머지 정리')]",3,1,7,0,2,1
300,300,"[('함수', '유리함수의 그래프', '유리식')]",3,1,37,0,1,0
301,301,"[('도형의 방정식', '직선의 방정식', '두 직선의 위치 관계')]",3,1,55,0,3,1
302,302,"[('다항식', '다항식의 연산', '다항식의 곱셈, 나눗셈')]",3,1,21,0,2,1
303,303,"[('방정식과 부등식', '이차방정식의 판별식', '이차방정식의 판별식')]",3,1,37,0,2,1
304,304,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,53,0,3,1
305,305,"[('집합과 명제', '집합', '합집합, 교집합, 여집합, 차집합')]",3,1,13,0,1,1
306,306,"[('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 근과 계수의 관계')]",3,1,49,0,3,1
307,307,"[('방정식과 부등식', '이차방정식의 판별식', '이차방정식의 판별식')]",3,1,54,0,3,1
308,308,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '여러 가지 부등식')]",3,1,20,0,2,0
309,309,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,60,0,4,1
310,310,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '부등식의 성질과 일차부등식의 해법')]",3,1,37,0,1,1
311,311,"[('도형의 방정식', '직선의 방정식', '두 직선의 위치 관계'), ('다항식', '다항식의 연산', '다항식의 정리')]",3,2,25,0,4,0
312,312,"[('실수와 허수', '실수', '실수')]",3,1,12,0,4,1
313,313,"[('집합과 명제', '명제의 증명', '명제의 증명')]",3,1,55,0,1,1
314,314,"[('함수', '함수', '함수')]",3,1,58,0,2,0
315,315,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,62,0,3,1
316,316,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,34,0,3,1
317,317,"[('함수', '무리함수의 그래프', '무리함수의 그래프')]",3,1,17,0,2,1
318,318,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수'), ('함수', '유리함수의 그래프', '유리함수의 그래프')]",3,2,73,0,2,1
319,319,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,5,0,3,1
320,320,"[('도형의 방정식', '도형의 이동', '평행이동')]",3,1,41,0,1,1
321,321,"[('다항식', '인수분해', '인수분해의 기본 공식')]",3,1,32,0,4,0
322,322,"[('집합과 명제', '명제와 조건', '명제와 조건')]",3,1,38,0,3,0
323,323,"[('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법')]",3,1,15,0,1,1
324,324,"[('집합과 명제', '명제와 조건', '명제와 조건')]",3,1,37,0,1,1
325,325,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,1,41,0,3,0
326,326,"[('방정식과 부등식', '이차부등식과 연립이차부등식', '이차부등식의 해법')]",3,1,21,0,3,1
327,327,"[('경우의 수', '경우의 수', '경우의 수'), ('도형의 방정식', '도형의 이동', '평행이동'), ('함수', '합성함수와 역함수', '합성함수')]",3,3,60,0,4,1
328,328,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,1,30,0,1,1
329,329,"[('방정식과 부등식', '이차방정식과 이차함수', '포물선과 직선의 위치 관계')]",3,1,40,0,4,0
330,330,"[('함수', '무리함수의 그래프', '무리식')]",3,1,12,0,3,0
331,331,"[('경우의 수', '순열과 조합', '순열'), ('함수', '합성함수와 역함수', '합성함수')]",3,2,63,0,1,0
332,332,"[('함수', '무리함수의 그래프', '무리식')]",3,1,61,0,1,1
333,333,"[('도형의 방정식', '평면좌표', '좌표와 자취')]",3,1,14,0,1,1
334,334,"[('집합과 명제', '집합', '집합과 원소')]",3,1,23,0,3,1
335,335,"[('집합과 명제', '명제의 증명', '절대부등식의 활용'), ('경우의 수', '경우의 수', '경우의 수'), ('다항식', '다항식의 연산', '다항식의 곱셈, 나눗셈')]",3,3,74,0,3,1
336,336,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,26,0,4,1
337,337,"[('실수와 허수', '실수', '무리수가 서로 같을 조건')]",3,1,39,0,3,1
338,338,"[('함수', '무리함수의 그래프', '무리식')]",3,1,20,0,2,1
339,339,"[('함수', '유리함수의 그래프', '유리함수의 그래프')]",3,1,30,0,2,1
340,340,"[('함수', '함수', '함수')]",3,1,19,0,2,1
341,341,"[('도형의 방정식', '직선의 방정식', '두 직선의 위치 관계')]",3,1,63,0,3,1
342,342,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '부등식의 성질과 일차부등식의 해법')]",3,1,53,0,4,0
343,343,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,10,0,1,1
344,344,"[('도형의 방정식', '평면좌표', '좌표와 자취'), ('함수', '다항함수의 그래프', '절댓값 기호가 있는 방정식의 그래프')]",3,2,64,0,1,0
345,345,"[('다항식', '나머지 정리', '인수정리와 고차식의 인수분해')]",3,1,12,0,4,1
346,346,"[('도형의 방정식', '원의 방정식', '두 원의 위치 관계')]",3,1,13,0,1,0
347,347,"[('도형의 방정식', '원의 방정식', '자취 문제(원)')]",3,1,31,0,3,1
348,348,"[('도형의 방정식', '원의 방정식', '두 원의 위치 관계')]",3,1,16,0,2,1
349,349,"[('방정식과 부등식', '삼차방정식과 사차방정식', '삼차방정식과 사차방정식의 해법')]",3,1,52,0,3,1
350,350,"[('집합과 명제', '명제와 조건', '명제와 조건')]",3,1,64,0,1,1
351,351,"[('경우의 수', '순열과 조합', '조합')]",3,1,52,0,3,1
352,352,"[('방정식과 부등식', '이차방정식의 판별식', '판별식의 활용')]",3,1,57,0,3,0
353,353,"[('도형의 방정식', '평면좌표', '두 점 사이의 거리')]",3,1,40,0,3,0
354,354,"[('방정식과 부등식', '이차방정식과 이차함수', '포물선과 직선의 위치 관계')]",3,1,65,0,4,1
355,355,"[('방정식과 부등식', '최대와 최소', '판별식을 이용하는 최대와 최소')]",3,1,59,0,2,1
356,356,"[('집합과 명제', '명제와 조건', '명제의 역과 대우'), ('방정식과 부등식', '삼차방정식과 사차방정식', '삼차방정식과 사차방정식의 해법'), ('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법')]",3,3,82,0,1,0
357,357,"[('함수', '함수', '함수')]",3,1,60,0,4,0
358,358,"[('경우의 수', '순열과 조합', '조합')]",3,1,29,0,2,1
359,359,"[('실수와 허수', '실수', '정수의 분류'), ('실수와 허수', '복소수', '허수와 복소수'), ('실수와 허수', '실수', '제곱근, 세제곱근과 그 연산')]",3,3,61,0,3,0
360,360,"[('방정식과 부등식', '삼차방정식과 사차방정식', '삼차방정식과 사차방정식의 해법')]",3,1,11,0,1,1
361,361,"[('경우의 수', '순열과 조합', '순열')]",3,1,64,0,1,1
362,362,"[('실수와 허수', '실수', '실수')]",3,1,44,0,2,0
363,363,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,33,0,3,1
364,364,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '연립일차부등식의 해법')]",3,1,30,0,1,1
365,365,"[('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법')]",3,1,65,0,4,0
366,366,"[('다항식', '인수분해', '기본 공식의 활용')]",3,1,35,0,2,1
367,367,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,20,0,3,1
368,368,"[('다항식', '인수분해', '다항식의 최대공약수와 최소공배수'), ('방정식과 부등식', '일차, 이차방정식', '이차방정식의 해법')]",3,2,27,0,4,1
369,369,"[('함수', '함수', '일대일대응')]",3,1,32,0,4,1
370,370,"[('집합과 명제', '명제와 조건', '명제와 조건'), ('방정식과 부등식', '이차방정식의 판별식', '이차방정식의 판별식'), ('경우의 수', '순열과 조합', '조합')]",3,3,68,0,2,0
371,371,"[('함수', '무리함수의 그래프', '무리식')]",3,1,29,0,1,0
372,372,"[('도형의 방정식', '직선의 방정식', '자취 문제(직선)'), ('다항식', '인수분해', '다항식의 최대공약수와 최소공배수'), ('도형의 방정식', '원의 방정식', '원의 방정식')]",3,3,47,0,3,1
373,373,"[('방정식과 부등식', '이차방정식과 이차함수', '이차방정식과 이차함수의 관계')]",3,1,35,0,2,1
374,374,"[('도형의 방정식', '도형의 이동', '평행이동'), ('방정식과 부등식', '최대와 최소', '이차함수의 최대와 최소'), ('방정식과 부등식', '연립방정식', '연립일차방정식의 해법')]",3,3,78,0,4,1
375,375,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,62,0,4,0
376,376,"[('도형의 방정식', '도형의 이동', '평행이동')]",3,1,62,0,2,0
377,377,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,51,0,2,1
378,378,"[('함수', '유리함수의 그래프', '유리식')]",3,1,61,0,2,1
379,379,"[('도형의 방정식', '도형의 이동', '평행이동')]",3,1,12,0,3,1
380,380,"[('집합과 명제', '명제의 증명', '절대부등식의 활용'), ('실수와 허수', '복소수', '복소수의 연산'), ('함수', '다항함수의 그래프', '간단한 삼차함수의 그래프')]",3,3,69,0,4,1
381,381,"[('실수와 허수', '실수', '실수')]",3,1,22,0,3,1
382,382,"[('다항식', '인수분해', '기본 공식의 활용'), ('실수와 허수', '복소수', '허수와 복소수')]",3,2,59,0,4,0
383,383,"[('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 정수근'), ('경우의 수', '경우의 수', '경우의 수'), ('도형의 방정식', '직선의 방정식', '방정식의 그래프')]",3,3,84,0,4,0
384,384,"[('다항식', '다항식의 연산', '다항식의 덧셈, 뺄셈')]",3,1,33,0,2,1
385,385,"[('방정식과 부등식', '일차, 이차방정식', '일차방정식의 해법')]",3,1,37,0,1,1
386,386,"[('도형의 방정식', '원의 방정식', '원과 직선의 위치 관계')]",3,1,23,0,1,0
387,387,"[('다항식', '인수분해', '기본 공식의 활용'), ('다항식', '나머지 정리', '인수정리와 고차식의 인수분해')]",3,2,75,0,1,1
388,388,"[('다항식', '항등식과 미정계수', '다항식의 나눗셈과 항등식')]",3,1,20,0,4,1
389,389,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,55,0,4,1
390,390,"[('방정식과 부등식', '일차, 이차방정식', '이차방정식의 해법')]",3,1,37,0,2,1
391,391,"[('집합과 명제', '명제의 증명', '명제의 증명')]",3,1,33,0,3,1
392,392,"[('함수', '유리함수의 그래프', '유리함수의 그래프')]",3,1,18,0,1,1
393,393,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,45,0,3,0
394,394,"[('다항식', '인수분해', '다항식의 최대공약수와 최소공배수'), ('다항식', '다항식의 연산', '다항식의 정리')]",3,2,55,0,1,1
395,395,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,36,0,2,1
396,396,"[('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 근과 계수의 관계'), ('다항식', '인수분해', '기본 공식의 활용')]",3,2,39,0,4,1
397,397,"[('집합과 명제', '명제와 조건', '명제의 역과 대우')]",3,1,30,0,1,1
398,398,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,54,0,2,1
399,399,"[('도형의 방정식', '도형의 이동', '평행이동')]",3,1,25,0,1,0
400,400,"[('도형의 방정식', '직선의 방정식', '점과 직선 사이의 거리')]",3,1,44,0,2,1
401,401,"[('함수', '다항함수의 그래프', '절댓값 기호가 있는 방정식의 그래프')]",3,1,33,0,4,1
402,402,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '부등식의 성질과 일차부등식의 해법')]",3,1,58,0,3,0
403,403,"[('경우의 수', '순열과 조합', '조합')]",3,1,15,0,4,1
404,404,"[('도형의 방정식', '원의 방정식', '두 원의 위치 관계')]",3,1,50,0,2,1
405,405,"[('경우의 수', '순열과 조합', '조합')]",3,1,15,0,3,1
406,406,"[('도형의 방정식', '도형의 이동', '평행이동')]",3,1,26,0,4,1
407,407,"[('도형의 방정식', '직선의 방정식', '자취 문제(직선)')]",3,1,9,0,2,1
408,408,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,35,0,1,1
409,409,"[('방정식과 부등식', '이차부등식과 연립이차부등식', '연립이차부등식의 해법')]",3,1,10,0,1,1
410,410,"[('함수', '합성함수와 역함수', '합성함수'), ('도형의 방정식', '원의 방정식', '자취 문제(원)'), ('함수', '합성함수와 역함수', '합성함수')]",3,3,70,0,1,1
411,411,"[('다항식', '나머지 정리', '나머지 정리')]",3,1,53,0,4,1
412,412,"[('도형의 방정식', '도형의 이동', '평행이동')]",3,1,15,0,2,1
413,413,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '부등식의 성질과 일차부등식의 해법')]",3,1,11,0,2,1
414,414,"[('실수와 허수', '실수', '실수')]",3,1,42,0,2,1
415,415,"[('함수', '무리함수의 그래프', '무리함수의 그래프'), ('방정식과 부등식', '이차방정식의 판별식', '판별식의 활용'), ('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법')]",3,3,55,0,1,1
416,416,"[('함수', '함수', '함수의 그래프')]",3,1,31,0,2,1
417,417,"[('경우의 수', '순열과 조합', '조합')]",3,1,5,0,1,1
418,418,"[('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법')]",3,1,65,0,1,1
419,419,"[('함수', '함수', '일대일대응')]",3,1,60,0,4,0
420,420,"[('경우의 수', '순열과 조합', '순열')]",3,1,7,0,3,1
421,421,"[('집합과 명제', '명제와 조건', '명제의 역과 대우')]",3,1,44,0,3,1
422,422,"[('함수', '무리함수의 그래프', '무리함수의 그래프')]",3,1,37,0,2,1
423,423,"[('경우의 수', '순열과 조합', '조합'), ('다항식', '다항식의 연산', '곱셈공식')]",3,2,30,0,1,0
424,424,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,28,0,2,1
425,425,"[('함수', '무리함수의 그래프', '무리식')]",3,1,48,0,1,0
426,426,"[('방정식과 부등식', '연립방정식', '부정방정식')]",3,1,33,0,1,1
427,427,"[('방정식과 부등식', '이차부등식과 연립이차부등식', '연립이차부등식의 해법'), ('다항식', '인수분해', '기본 공식의 활용')]",3,2,70,0,3,1
428,428,"[('실수와 허수', '실수', '제곱근, 세제곱근과 그 연산')]",3,1,32,0,2,1
429,429,"[('함수', '다항함수의 그래프', '이차함수의 그래프')]",3,1,47,0,1,1
430,430,"[('실수와 허수', '실수', '무리수가 서로 같을 조건')]",3,1,29,0,1,0
431,431,"[('도형의 방정식', '원의 방정식', '자취 문제(원)')]",3,1,55,0,3,1
432,432,"[('집합과 명제', '명제의 증명', '명제의 증명')]",3,1,62,0,3,1
433,433,"[('도형의 방정식', '평면좌표', '선분의 내분점과 외분점')]",3,1,8,0,1,1
434,434,"[('다항식', '나머지 정리', '나머지 정리')]",3,1,55,0,1,1
435,435,"[('다항식', '나머지 정리', '인수정리와 고차식의 인수분해')]",3,1,49,0,4,1
436,436,"[('도형의 방정식', '원의 방정식', '두 원의 위치 관계')]",3,1,50,0,2,1
437,437,"[('경우의 수', '순열과 조합', '순열')]",3,1,23,0,1,1
438,438,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '여러 가지 부등식'), ('방정식과 부등식', '일차부등식과 연립일차부등식', '부등식의 성질과 일차부등식의 해법'), ('실수와 허수', '실수', '정수의 분류')]",3,3,75,0,1,0
439,439,"[('도형의 방정식', '평면좌표', '선분의 내분점과 외분점'), ('함수', '함수', '일대일대응')]",3,2,60,0,3,1
440,440,"[('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법')]",3,1,8,0,3,1
441,441,"[('집합과 명제', '명제와 조건', '충분조건, 필요조건'), ('방정식과 부등식', '이차부등식과 연립이차부등식', '이차부등식의 해법')]",3,2,46,0,4,0
442,442,"[('함수', '합성함수와 역함수', '합성함수')]",3,1,61,0,4,0
443,443,"[('도형의 방정식', '도형의 이동', '대칭이동')]",3,1,28,0,3,0
444,444,"[('방정식과 부등식', '이차방정식의 판별식', '이차방정식의 판별식')]",3,1,13,0,4,1
445,445,"[('실수와 허수', '실수', '무리수가 서로 같을 조건')]",3,1,30,0,2,0
446,446,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,49,0,3,1
447,447,"[('도형의 방정식', '원의 방정식', '원과 직선의 위치 관계')]",3,1,63,0,1,0
448,448,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,38,0,3,0
449,449,"[('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 실근의 부호')]",3,1,59,0,1,1
450,450,"[('방정식과 부등식', '이차방정식과 이차함수', '이차방정식의 근의 분리')]",3,1,12,0,3,1
451,451,"[('도형의 방정식', '원의 방정식', '원과 직선의 위치 관계')]",3,1,43,0,1,0
452,452,"[('집합과 명제', '명제와 조건', '명제의 역과 대우')]",3,1,19,0,1,1
453,453,"[('방정식과 부등식', '일차, 이차방정식', '일차방정식의 해법')]",3,1,10,0,2,1
454,454,"[('도형의 방정식', '원의 방정식', '원의 방정식'), ('방정식과 부등식', '최대와 최소', '제한된 범위에서의 최대와 최소'), ('방정식과 부등식', '이차방정식과 이차함수', '포물선과 직선의 위치 관계')]",3,3,62,0,3,0
455,455,"[('집합과 명제', '집합', '합집합, 교집합, 여집합, 차집합')]",3,1,55,0,4,1
456,456,"[('집합과 명제', '명제의 증명', '절대부등식의 활용')]",3,1,63,0,1,0
457,457,"[('도형의 방정식', '원의 방정식', '원과 직선의 위치 관계'), ('도형의 방정식', '평면좌표', '좌표와 자취'), ('경우의 수', '경우의 수', '경우의 수')]",3,3,64,0,2,1
458,458,"[('방정식과 부등식', '삼차방정식과 사차방정식', '삼차방정식과 사차방정식의 해법')]",3,1,31,0,2,1
459,459,"[('집합과 명제', '집합', '합집합, 교집합, 여집합, 차집합')]",3,1,32,0,2,1
460,460,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,1,15,0,1,1
461,461,"[('도형의 방정식', '평면좌표', '좌표와 자취')]",3,1,62,0,2,0
462,462,"[('함수', '다항함수의 그래프', '이차함수의 그래프'), ('집합과 명제', '명제의 증명', '절대부등식의 활용')]",3,2,20,0,2,1
463,463,"[('집합과 명제', '명제와 조건', '명제와 조건')]",3,1,50,0,2,0
464,464,"[('실수와 허수', '실수', '제곱근, 세제곱근과 그 연산'), ('집합과 명제', '집합', '합집합, 교집합, 여집합, 차집합')]",3,2,59,0,1,0
465,465,"[('경우의 수', '경우의 수', '경우의 수'), ('실수와 허수', '복소수', '허수와 복소수'), ('방정식과 부등식', '이차부등식과 연립이차부등식', '이차부등식의 해법')]",3,3,81,0,4,0
466,466,"[('실수와 허수', '실수', '실수'), ('방정식과 부등식', '연립방정식', '연립일차방정식의 해법')]",3,2,49,0,3,0
467,467,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,63,0,2,1
468,468,"[('도형의 방정식', '직선의 방정식', '방정식의 그래프')]",3,1,22,0,1,0
469,469,"[('함수', '유리함수의 그래프', '유리함수의 그래프'), ('방정식과 부등식', '일차, 이차방정식', '이차방정식의 해법'), ('함수', '유리함수의 그래프', '유리함수의 그래프')]",3,3,68,0,2,1
470,470,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,1,35,0,1,1
471,471,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,1,49,0,4,1
472,472,"[('경우의 수', '순열과 조합', '순열')]",3,1,59,0,4,1
473,473,"[('도형의 방정식', '평면좌표', '좌표와 자취')]",3,1,15,0,4,0
474,474,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,37,0,1,0
475,475,"[('경우의 수', '순열과 조합', '순열')]",3,1,56,0,4,0
476,476,"[('실수와 허수', '실수', '제곱근, 세제곱근과 그 연산')]",3,1,17,0,4,0
477,477,"[('다항식', '항등식과 미정계수', '다항식의 나눗셈과 항등식')]",3,1,6,0,4,1
478,478,"[('경우의 수', '순열과 조합', '순열')]",3,1,63,0,4,0
479,479,"[('도형의 방정식', '원의 방정식', '원의 방정식')]",3,1,36,0,1,1
480,480,"[('경우의 수', '순열과 조합', '조합')]",3,1,45,0,1,1
481,481,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,62,0,3,1
482,482,"[('함수', '합성함수와 역함수', '역함수')]",3,1,25,0,1,1
483,483,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,1,31,0,1,1
484,484,"[('집합과 명제', '명제와 조건', '충분조건, 필요조건'), ('경우의 수', '경우의 수', '경우의 수')]",3,2,39,0,2,1
485,485,"[('도형의 방정식', '평면좌표', '선분의 내분점과 외분점')]",3,1,50,0,1,1
486,486,"[('함수', '유리함수의 그래프', '유리함수의 그래프')]",3,1,20,0,1,1
487,487,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,24,0,4,1
488,488,"[('경우의 수', '순열과 조합', '순열')]",3,1,43,0,2,1
489,489,"[('경우의 수', '순열과 조합', '조합')]",3,1,28,0,4,0
490,490,"[('방정식과 부등식', '삼차방정식과 사차방정식', '삼차방정식과 사차방정식의 해법')]",3,1,51,0,4,1
491,491,"[('경우의 수', '경우의 수', '경우의 수'), ('다항식', '나머지 정리', '나머지 정리')]",3,2,21,0,4,1
492,492,"[('함수', '유리함수의 그래프', '유리함수의 그래프')]",3,1,63,0,2,1
493,493,"[('방정식과 부등식', '이차방정식과 이차함수', '포물선과 직선의 위치 관계')]",3,1,15,0,1,0
494,494,"[('다항식', '나머지 정리', '나머지 정리')]",3,1,42,0,2,1
495,495,"[('다항식', '나머지 정리', '나머지 정리')]",3,1,30,0,2,0
496,496,"[('방정식과 부등식', '일차, 이차방정식', '일차방정식의 해법')]",3,1,23,0,4,0
497,497,"[('집합과 명제', '명제와 조건', '충분조건, 필요조건')]",3,1,34,0,4,0
498,498,"[('경우의 수', '순열과 조합', '조합')]",3,1,15,0,1,1
499,499,"[('다항식', '다항식의 연산', '다항식의 정리')]",3,1,54,0,2,1
500,500,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,34,0,2,1
501,501,"[('경우의 수', '순열과 조합', '순열')]",3,1,55,0,1,0
502,502,"[('집합과 명제', '집합', '집합의 포함 관계')]",3,1,48,0,2,1
503,503,"[('함수', '다항함수의 그래프', '절댓값 기호가 있는 방정식의 그래프')]",3,1,15,0,2,0
504,504,"[('집합과 명제', '명제의 증명', '명제의 증명')]",3,1,31,0,3,1
505,505,"[('방정식과 부등식', '이차방정식의 판별식', '이차방정식의 판별식')]",3,1,52,0,1,1
506,506,"[('도형의 방정식', '직선의 방정식', '두 직선의 위치 관계')]",3,1,64,0,1,0
